epoch,train_loss,train_err,test_err
0,0.7556573152542114,7.749452661979168,5.332993110793542
1,63.81431579589844,7.619651866819471,5.40667184685821
2,0.14154832065105438,7.715705777947376,5.427086496303825
3,2.491534948348999,7.809858639192846,5.403622168688613
4,34.86874771118164,7.647277608428645,5.420990957803895
5,4.475419044494629,7.556200471773063,5.261524524828516
6,0.02604321390390396,8.40404130642606,5.761583912669834
7,0.0905006155371666,9.585172655001358,6.269118158088329
8,0.09266602993011475,7.507781862394794,5.237504039673647
9,0.6886487007141113,7.960937455827918,5.445348596565412
10,0.09125380963087082,7.468100853328729,5.239843321827854
11,0.1295330971479416,7.497588724582672,5.286217576532076
12,12.825850486755371,7.8322344299120035,5.446327777546976
13,3.4831228256225586,7.894865868402085,5.553934266310484
14,0.06932671368122101,7.896818828673548,5.535172474796913
15,0.030920885503292084,7.641952438343978,5.269800809825339
16,9.297879219055176,7.6184901615162905,5.264460688567224
17,8.494009971618652,7.728268988607769,5.273995256051421
18,0.2732526361942291,7.618327643030865,5.307195671512794
19,0.04686574265360832,7.8739841567832,5.393055978896363
20,0.06072976440191269,7.666598052186394,5.317273481648402
21,0.6513125896453857,7.918510757457673,5.556522764194146
22,0.0818692222237587,7.793225975829781,5.221652238658963
23,0.11826318502426147,8.021494474630126,5.477369808465347
24,0.7375630736351013,8.039187724584979,5.630559246837834
25,1.7603586912155151,7.9373841069996915,5.502372405722166
26,7.444103240966797,7.655938072946557,5.324883405145141
27,3.386641025543213,7.7114700740056215,5.511919137228358
28,0.7433444857597351,7.90297767329782,5.486117702314974
29,39.310813903808594,7.963057635183164,5.757518541898565
30,0.024313759058713913,7.617788418953035,5.447397012146715
31,0.07384669035673141,7.975060684288302,5.549355683556209
32,11.932060241699219,7.71434156324956,5.554093914710063
33,7.599320888519287,7.748271762387685,5.8132905335610126
34,0.04646023362874985,7.7838004569352615,5.622913821941105
35,0.031499698758125305,7.754468624149514,5.387114342490295
36,0.023530488833785057,7.680598054811575,5.612829518351925
37,3.873202323913574,7.824162057592346,5.655343885205764
38,0.04719342291355133,8.430984683741695,5.800249066476415
39,1.546865463256836,7.615121150299767,5.2972296536591825
40,0.04085860401391983,7.753085311200212,5.712829705885894
41,0.05602511018514633,7.734275254598154,5.590787207214519
42,0.3974136412143707,7.598245070261591,5.515831177891962
43,0.06069835275411606,7.7432327138071075,5.940656228945023
44,0.022160116583108902,7.664546541285909,6.138327505796473
45,0.11410736292600632,7.6068945168569,5.586340407967463
46,16.061927795410156,7.72967363548757,5.335834147609797
47,0.0700574666261673,7.695796423768182,6.243368841584395
48,0.03100879304111004,7.774109532677232,5.759693111250833
49,0.6556321978569031,7.576320579357734,5.344106361101209
50,5.1962971687316895,7.585773810891739,5.384684090051501
51,0.1050591692328453,7.769000465105204,6.006373340166612
52,0.7353557348251343,7.674289005070401,5.9804100979911325
53,0.018481822684407234,7.894495090710978,5.456924341333452
