epoch,train_loss,val_loss,test_loss,avg_train_error,avg_val_error,test_accuracy
1,0.158307,0.108975,0.109965,0.632284,0.523560,0.000000
2,0.136182,0.115840,0.116250,0.581381,0.541740,0.000000
3,0.129971,0.120222,0.120820,0.568624,0.553675,0.000000
4,0.144176,0.113880,0.115896,0.583890,0.533101,0.062500
5,0.137294,0.105490,0.106698,0.578671,0.510427,0.125000
6,0.119584,0.098091,0.100034,0.542629,0.487648,0.125000
7,0.103053,0.096357,0.097886,0.491429,0.483252,0.125000
8,0.105947,0.090388,0.091963,0.503909,0.463502,0.187500
9,0.098576,0.082284,0.084670,0.471456,0.433150,0.562500
